Oil,Variety or Processing,0,4,10,20,23.9,25,27,30,38,40,45,48.9,50,60,65,70,75,80,82.2,90,99,100,110,Source 
Rapeseed,,,,,76,,,,48,,34,,,24,16,,13,,11,,9,,,,"Acagorula, 2001"
Canola,"Refined, bleached, deodorized",,178.9,128.8,,,63,,,,37,,,,,,,,,,,,,,"Lang, 1992"
Canola,"Refined, bleached, winterized",,172.3,131.5,,,65,,,,50,,,,,,,,,,,,,,"Lang, 1992"
Soybean,,184.9,,107.5,,,55,,,,32,,,,,,,,,,,,,,"Magne, 1945"
Peanut,,,,154,,,73,,,,41,,,,,,,,,,,,,,"Magne, 1945"
Cottonseed,,212.9,,121.4,,,60,,,,35,29,,,19,,,,,,,,,,"Magne, 1945"
Palm,,,,,89,,,,,,38,,,,20,,,,,,,,8,,"del Almeida, 2002"
Rapeseed,,,,,75,,,,,,,,,,,16,,,,,9,,,,"Acagorula, 2001"
Corn,,,,,,,,46,,,,,,,,,,11,,,,,,,"Altin, 2001"
Cottonseed,,,,,,,,50,,,,,,,,,,16,,,,,,,"Altin, 2001"
Palm,,,,,,,,,,,38,,,,20,,,,,,,,8,,"del Almeida, 2002"
Poppy ,,,,,,,,56,,,,,,,,,,13,,,,,,,"Altin, 2001"
Rapeseed,,,,,,,,40,,,,,,,,,,11,,,,,,,"Altin, 2001"
Rapeseed,,,,,,,,,,,38,,,,20,,,,,,,,,,"Labeckas, 2006"
Soybean,,,,,,,,65,,,,,,,,,,9,,,,,,,"Altin, 2001"
Sunflower,,,,,,,,58,,,,,,,,,,15,,,,,,,"Altin, 2001"
Cottonseed ,Crude,,,,76,,,,,,35,,,,,,,,,,,,8,,"Ryan, 1983"
Cottonseed,Refined,,,,70,,,,,,33,,,,,,,,,,,,8,,"Ryan, 1983"
Cottonseed,"Refined, bleached, and deodorized",,,,75,,,,,,34,,,,,,,,,,,,8,,"Ryan, 1983"
Peanut,Crude,,,,80,,,,,,36,,,,,,,,,,,,8,,"Ryan, 1983"
Peanut,Refined,,,,82,,,,,,37,,,,,,,,,,,,8,,"Ryan, 1983"
Peanut,"Refined, bleached, and deodorized",,,,83,,,,,,37,,,,,,,,,,,,8,,"Ryan, 1983"
Soybean,Crude,,,,66,,,,,,32,,,,,,,,,,,,8,,"Ryan, 1983"
Soybean,Degummed,,,,66,,,,,,31,,,,,,,,,,,,8,,"Ryan, 1983"
Soybean,Refined,,,,64,,,,,,31,,,,,,,,,,,,7,,"Ryan, 1983"
Soybean,Hydrogenated,,,,,,,,,,38,,,,,,,,,,,,8,,"Ryan, 1983"
Sunflower,Crude,,,,66,,,,,,31,,,,,,,,,,,,8,,"Ryan, 1983"
Sunflower,Refined,,,,65,,,,,,31,,,,,,,,,,,,8,,"Ryan, 1983"
Sunflower,Dewaxed,,,,65,,,,,,31,,,,,,,,,,,,8,,"Ryan, 1983"
Sunflower,"Refined, bleached, and deodorized",,,,67,,,,,,32,,,,,,,,,,,,8,,"Ryan, 1983"
Crambe,,,,,,96,,,,55,,,37,,26,,,,,15,,,11,9,"Noureddini, 1988"
Rapeseed,,,,,,87,,,,50,,,34,,24,,,,,14,,,9,8,"Noureddini, 1988"
Corn,,,,,,57,,,,34,,,26,,18,,,,,10,,,8,7,"Noureddini, 1988"
Soybean,,,,,,59,,,,35,,,26,,18,,,,,11,,,8,7,"Noureddini, 1988"
Milkweed,,,,,,61,,,,36,,,27,,18,,,,,11,,,8,7,"Noureddini, 1988"
Coconut,,,,,,,,,,31,,,22,,15,,,,,9,,,6,5,"Noureddini, 1988"
Lesquerella,,,,,,293,,,,130,,,76,,48,,,,,22,,,15,11,"Noureddini, 1988"
Almond,,,,,,,,,,43,,,,,,,,,,,,9,,,"Rescorla, 1936"
Olive,,,,,,,,,,47,,,,,,,,,,,,9,,,"Rescorla, 1936"
Rapeseed,,,,,,,,,,51,,,,,,,,,,,,10,,,"Rescorla, 1936"
Rapeseed,,,,,,,,,,51,,,,,,,,,,,,10,,,"Rescorla, 1936"
Mustard,,,,,,,,,,45,,,,,,,,,,,,9,,,"Rescorla, 1936"
Cottonseed,,,,,,,,,,39,,,,,,,,,,,,8,,,"Rescorla, 1936"
Soybean,,,,,,,,,,28,,,,,,,,,,,,8,,,"Rescorla, 1936"
Hempseed,Raw,,,,,,,,,29,,,,,,,,,,,,7,,,"Rescorla, 1936"
Linseed,,,,,,,,,,30,,,,,,,,,,,,7,,,"Rescorla, 1936"
Perilla,Raw,,,,,,,,,25,,,,,,,,,,,,7,,,"Rescorla, 1936"
Perilla,Refined,,,,,,,,,26,,,,,,,,,,,,7,,,"Rescorla, 1936"
Sunflower,,,,,,,,,,33,,,,,,,,,,,,8,,,"Rescorla, 1936"
China wood,,,,,,,,,,115,,,,,,,,,,,,15,,,"Rescorla, 1936"
Castor,,,,,,,,,,293,,,,,,,,,,,,20,,,"Rescorla, 1936"
Castor,,,,,,,,,,302,,,,,,,,,,,,20,,,"Rescorla, 1936"
Coconut,,,,,,,,,,30,,,,,,,,,,,,6,,,"Rescorla, 1936"
Coconut,,,,,,,,,,29,,,,,,,,,,,,6,,,"Rescorla, 1936"
Palm kernel,,,,,,,,,,31,,,,,,,,,,,,7,,,"Rescorla, 1936"
Lard,,,,,,,,,,44,,,,,,,,,,,,9,,,"Rescorla, 1936"
Lard,,,,,,,,,,32,,,,,,,,,,,,7,,,"Rescorla, 1936"
Neat's-foot,,,,,,,,,,43,,,,,,,,,,,,9,,,"Rescorla, 1936"
Sardine,,,,,,,,,,28,,,,,,,,,,,,7,,,"Rescorla, 1936"
Sardine,,,,,,,,,,28,,,,,,,,,,,,7,,,"Rescorla, 1936"
Sardine,Cold-pressed,,,,,,,,,27,,,,,,,,,,,,7,,,"Rescorla, 1936"
Cod liver,,,,,,,,,,33,,,,,,,,,,,,8,,,"Rescorla, 1936"
Menhaden,,,,,,,,,,29,,,,,,,,,,,,7,,,"Rescorla, 1936"